City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Batemans Bay,AU,-35.7167,150.1833,51.1,57,0,9.62,clear sky
277,Asau,RO,46.4333,26.4,63.95,100,100,5.21,overcast clouds
278,Bulawayo,ZW,-20.15,28.5833,50.79,82,0,8.52,clear sky
279,Neyshabur,IR,36.2133,58.7958,71.29,50,0,1.88,clear sky
280,Ust-Kut,RU,56.7938,105.7672,55.58,60,100,2.77,overcast clouds
281,Lavrentiya,RU,65.5833,-171.0,36.23,63,100,18.92,overcast clouds
282,Calabozo,VE,8.9242,-67.4293,88.03,55,100,7.14,overcast clouds
283,Coolum Beach,AU,-26.5333,153.1,53.11,78,5,7.74,clear sky
284,Vila Velha,BR,-20.3297,-40.2925,76.95,77,100,11.99,overcast clouds
285,Vaitape,PF,-16.5167,-151.75,79.86,77,55,18.75,moderate rain
286,Ulverstone,AU,-41.15,146.1667,50.18,47,68,11.99,broken clouds
287,Sibolga,ID,1.7427,98.7792,74.75,93,100,1.74,overcast clouds
288,Arman,RU,59.7,150.1667,37.02,97,100,1.32,overcast clouds
289,Karasjok,NO,69.4719,25.5112,56.55,78,100,5.08,light rain
290,Leh,IN,34.1667,77.5833,54.79,29,8,4.0,clear sky
291,Joshimath,IN,30.5667,79.5667,66.99,63,39,1.36,scattered clouds
292,Bad Orb,DE,50.2279,9.3478,66.81,72,42,3.11,scattered clouds
293,Sunnyside,US,46.3237,-120.0087,72.84,60,75,5.75,broken clouds
294,Belaya Gora,RU,68.5333,146.4167,57.69,59,2,0.76,clear sky
295,Batagay,RU,67.6333,134.6333,56.07,43,18,3.15,few clouds
296,Contamana,PE,-7.3333,-75.0167,75.92,64,100,4.12,overcast clouds
297,Kalispell,US,48.1958,-114.3129,63.77,88,100,10.36,overcast clouds
298,Caborca,MX,30.5838,-111.101,99.64,21,10,7.76,clear sky
299,Viedma,AR,-40.8135,-62.9967,62.01,23,54,11.88,broken clouds
300,Portsmouth,GB,50.799,-1.0913,67.51,76,26,11.01,scattered clouds
301,Zhezkazgan,KZ,47.8043,67.7144,68.41,38,63,6.89,broken clouds
302,Inhambane,MZ,-23.865,35.3833,71.58,83,40,3.44,scattered clouds
303,Azanka,RU,58.0401,64.7893,52.12,97,65,3.96,broken clouds
304,New Norfolk,AU,-42.7826,147.0587,38.7,84,100,3.0,overcast clouds
305,Nabire,ID,-3.3667,135.4833,75.02,91,23,3.0,few clouds
306,Laguna,US,38.421,-121.4238,95.43,31,0,9.22,clear sky
307,Gezing,AT,47.9178,13.1299,71.85,43,20,5.75,few clouds
308,Nelson Bay,AU,-32.7167,152.15,51.1,61,0,3.0,clear sky
309,Port Lincoln,AU,-34.7333,135.8667,52.52,74,21,6.58,few clouds
310,Robertsport,LR,6.7533,-11.3686,79.79,80,95,9.15,overcast clouds
311,Kaeo,NZ,-35.1,173.7833,59.32,91,79,16.17,broken clouds
312,Vagur,FO,61.4732,-6.8119,49.08,95,90,17.54,overcast clouds
313,Krasnyy Chikoy,RU,50.3643,108.7512,48.02,97,100,2.89,overcast clouds
314,Fare,PF,-16.7,-151.0167,79.74,76,41,18.23,moderate rain
315,Dunedin,NZ,-45.8742,170.5036,44.8,51,100,11.99,overcast clouds
316,Mount Gambier,AU,-37.8333,140.7667,50.76,78,100,10.11,overcast clouds
317,Chandbali,IN,20.7833,86.7667,88.0,63,100,11.48,overcast clouds
318,Aklavik,CA,68.2191,-135.0107,37.4,87,100,11.5,overcast clouds
319,Fort-Shevchenko,KZ,44.5086,50.263,73.22,54,0,6.29,clear sky
320,Fairbanks,US,64.8378,-147.7164,62.49,61,0,3.44,clear sky
321,Verkhnevilyuysk,RU,63.4453,120.3167,48.33,73,100,5.26,overcast clouds
322,Avon Park,US,27.5959,-81.5062,78.78,63,100,8.48,light rain
323,Tucuman,AR,-26.8241,-65.2226,64.4,48,65,4.61,broken clouds
324,Eureka,US,40.8021,-124.1637,77.18,77,100,4.0,overcast clouds
325,South Hill,US,47.1412,-122.2701,64.67,80,100,8.05,overcast clouds
326,Ugoofaaru,MV,5.6667,73.0,83.14,75,100,11.36,overcast clouds
327,Kuminskiy,RU,58.6667,66.5667,52.45,96,17,4.65,few clouds
328,Hokitika,NZ,-42.7167,170.9667,48.0,89,100,14.85,light rain
329,Marsa Matruh,EG,31.3525,27.2453,73.6,78,0,11.5,clear sky
330,Dzilam Gonzalez,MX,21.2833,-88.9333,97.29,34,0,6.2,clear sky
331,Mehran,IR,33.1222,46.1646,92.17,15,0,13.49,clear sky
332,Saint-Pierre,RE,-21.3393,55.4781,68.92,77,0,4.61,clear sky
333,Jonkoping,SE,57.7814,14.1562,65.91,52,10,10.36,clear sky
334,Palmer,US,42.1584,-72.3287,77.07,49,75,1.01,broken clouds
335,Saint-Augustin,CA,51.226,-58.6502,62.42,68,97,17.38,overcast clouds
336,Talara,PE,-4.5772,-81.2719,72.36,68,75,12.66,broken clouds
337,Poshtove,UA,44.8311,33.9545,67.51,82,100,5.86,overcast clouds
338,Lorengau,PG,-2.0226,147.2712,80.69,75,13,6.24,few clouds
339,Kenora,CA,49.8167,-94.4337,72.57,40,20,4.61,few clouds
340,Chaupimarca,PE,-10.4333,-76.5333,49.15,46,86,8.46,overcast clouds
341,Harper,LR,4.375,-7.7169,75.54,92,100,6.87,moderate rain
342,Tiznit,MA,29.5833,-9.5,77.2,56,2,6.42,clear sky
343,Haverfordwest,GB,51.8017,-4.9691,60.39,78,4,5.99,clear sky
